20260119225927,10.0.0.2,54478,10.0.0.1,5001,1,0.0-0.2,2432850,97313513,0.096,0,1655,0.000,3
20260119225927,10.0.0.2,54478,10.0.0.1,5001,1,0.2-0.4,2431380,97254713,0.103,0,1654,0.000,0
20260119225927,10.0.0.2,54478,10.0.0.1,5001,1,0.4-0.6,2429910,97195914,0.100,0,1653,0.000,0
20260119225927,10.0.0.2,54478,10.0.0.1,5001,1,0.6-0.8,2431380,97254713,0.107,0,1654,0.000,0
20260119225927,10.0.0.2,54478,10.0.0.1,5001,1,0.8-1.0,2429910,97195914,0.102,0,1653,0.000,0
20260119225928,10.0.0.2,54478,10.0.0.1,5001,1,1.0-1.2,2431380,97254713,0.105,0,1654,0.000,0
20260119225928,10.0.0.2,54478,10.0.0.1,5001,1,1.2-1.4,2429910,97195914,0.105,0,1653,0.000,0
20260119225928,10.0.0.2,54478,10.0.0.1,5001,1,1.4-1.6,2431380,97254713,0.101,0,1654,0.000,0
20260119225928,10.0.0.2,54478,10.0.0.1,5001,1,1.6-1.8,2429910,97195914,0.100,95,1748,5.435,0
20260119225928,10.0.0.2,54478,10.0.0.1,5001,1,1.8-2.0,2429910,97195914,0.096,129,1782,7.239,0
20260119225929,10.0.0.2,54478,10.0.0.1,5001,1,2.0-2.2,2431380,97254713,0.104,131,1785,7.339,0
20260119225929,10.0.0.2,54478,10.0.0.1,5001,1,2.2-2.4,2429910,97195914,0.100,130,1783,7.291,0
20260119225929,10.0.0.2,54478,10.0.0.1,5001,1,2.4-2.6,2429910,97195914,0.102,129,1782,7.239,0
20260119225929,10.0.0.2,54478,10.0.0.1,5001,1,2.6-2.8,2431380,97254713,0.107,130,1784,7.287,0
20260119225929,10.0.0.2,54478,10.0.0.1,5001,1,2.8-3.0,2429910,97195914,0.098,130,1783,7.291,0
20260119225930,10.0.0.2,54478,10.0.0.1,5001,1,3.0-3.2,2431380,97254713,0.104,130,1784,7.287,0
20260119225930,10.0.0.2,54478,10.0.0.1,5001,1,3.2-3.4,2429910,97195914,0.108,130,1783,7.291,0
20260119225930,10.0.0.2,54478,10.0.0.1,5001,1,3.4-3.6,2431380,97254713,0.105,130,1784,7.287,0
20260119225930,10.0.0.2,54478,10.0.0.1,5001,1,3.6-3.8,2429910,97195914,0.098,129,1782,7.239,0
20260119225930,10.0.0.2,54478,10.0.0.1,5001,1,3.8-4.0,2431380,97254713,0.098,130,1784,7.287,0
20260119225931,10.0.0.2,54478,10.0.0.1,5001,1,4.0-4.2,2429910,97195914,0.097,130,1783,7.291,0
20260119225931,10.0.0.2,54478,10.0.0.1,5001,1,4.2-4.4,2429910,97195914,0.109,130,1783,7.291,0
20260119225931,10.0.0.2,54478,10.0.0.1,5001,1,4.4-4.6,2431380,97254713,0.098,130,1784,7.287,1
20260119225931,10.0.0.2,54478,10.0.0.1,5001,1,4.6-4.8,2429910,97195914,0.103,130,1783,7.291,0
20260119225931,10.0.0.2,54478,10.0.0.1,5001,1,4.8-5.0,2431380,97254713,0.098,130,1784,7.287,0
20260119225932,10.0.0.2,54478,10.0.0.1,5001,1,5.0-5.2,2429910,97195914,0.097,129,1782,7.239,0
20260119225932,10.0.0.2,54478,10.0.0.1,5001,1,5.2-5.4,2431380,97254713,0.102,131,1785,7.339,0
20260119225932,10.0.0.2,54478,10.0.0.1,5001,1,5.4-5.6,2429910,97195914,0.106,130,1783,7.291,0
20260119225932,10.0.0.2,54478,10.0.0.1,5001,1,5.6-5.8,2429910,97195914,0.112,130,1783,7.291,0
20260119225932,10.0.0.2,54478,10.0.0.1,5001,1,5.8-6.0,2431380,97254713,0.106,129,1783,7.235,0
20260119225933,10.0.0.2,54478,10.0.0.1,5001,1,6.0-6.2,2429910,97195914,0.106,130,1783,7.291,0
20260119225933,10.0.0.2,54478,10.0.0.1,5001,1,6.2-6.4,2429910,97195914,0.111,131,1784,7.343,0
20260119225933,10.0.0.2,54478,10.0.0.1,5001,1,6.4-6.6,2429910,97195914,0.098,129,1782,7.239,0
20260119225933,10.0.0.2,54478,10.0.0.1,5001,1,6.6-6.8,2431380,97254713,0.105,131,1785,7.339,0
20260119225933,10.0.0.2,54478,10.0.0.1,5001,1,6.8-7.0,2429910,97195914,0.107,129,1782,7.239,0
20260119225934,10.0.0.2,54478,10.0.0.1,5001,1,7.0-7.2,2431380,97254713,0.113,130,1784,7.287,0
20260119225934,10.0.0.2,54478,10.0.0.1,5001,1,7.2-7.4,2429910,97195914,0.102,130,1783,7.291,0
20260119225934,10.0.0.2,54478,10.0.0.1,5001,1,7.4-7.6,2431380,97254713,0.107,130,1784,7.287,0
20260119225934,10.0.0.2,54478,10.0.0.1,5001,1,7.6-7.8,2429910,97195914,0.102,130,1783,7.291,0
20260119225934,10.0.0.2,54478,10.0.0.1,5001,1,7.8-8.0,2429910,97195914,0.107,130,1783,7.291,0
20260119225935,10.0.0.2,54478,10.0.0.1,5001,1,8.0-8.2,2431380,97254713,0.098,130,1784,7.287,0
20260119225935,10.0.0.2,54478,10.0.0.1,5001,1,8.2-8.4,2429910,97195914,0.100,129,1782,7.239,0
20260119225935,10.0.0.2,54478,10.0.0.1,5001,1,8.4-8.6,2431380,97254713,0.100,130,1784,7.287,0
20260119225935,10.0.0.2,54478,10.0.0.1,5001,1,8.6-8.8,2429910,97195914,0.099,130,1783,7.291,0
20260119225935,10.0.0.2,54478,10.0.0.1,5001,1,8.8-9.0,2431380,97254713,0.101,130,1784,7.287,0
20260119225936,10.0.0.2,54478,10.0.0.1,5001,1,9.0-9.2,2429910,97195914,0.107,130,1783,7.291,0
20260119225936,10.0.0.2,54478,10.0.0.1,5001,1,9.2-9.4,2431380,97254713,0.103,130,1784,7.287,0
20260119225936,10.0.0.2,54478,10.0.0.1,5001,1,9.4-9.6,2429910,97195914,0.104,129,1782,7.239,0
20260119225936,10.0.0.2,54478,10.0.0.1,5001,1,9.6-9.8,2429910,97195914,0.100,130,1783,7.291,0
20260119225936,10.0.0.2,54478,10.0.0.1,5001,1,9.8-10.0,2431380,97254713,0.114,130,1784,7.287,0
20260119225936,10.0.0.2,54478,10.0.0.1,5001,1,10.0-10.1,1465590,97258610,0.102,78,1075,7.256,0
20260119225936,10.0.0.2,54478,10.0.0.1,5001,1,0.0-10.1,122994900,97223386,0.103,5498,89168,6.166,4
20260119225943,10.0.0.2,43035,10.0.0.1,5001,2,0.0-0.2,2431380,97254713,0.099,0,1654,0.000,0
20260119225943,10.0.0.2,43035,10.0.0.1,5001,2,0.2-0.4,2431380,97254713,0.108,0,1654,0.000,0
20260119225943,10.0.0.2,43035,10.0.0.1,5001,2,0.4-0.6,2429910,97195914,0.096,0,1653,0.000,0
20260119225944,10.0.0.2,43035,10.0.0.1,5001,2,0.6-0.8,2426970,97078314,0.102,0,1651,0.000,0
20260119225944,10.0.0.2,43035,10.0.0.1,5001,2,0.8-1.0,2429910,97195914,0.106,0,1653,0.000,0
20260119225944,10.0.0.2,43035,10.0.0.1,5001,2,1.0-1.2,2371110,94843925,0.110,0,1613,0.000,0
20260119225944,11.0.0.1,40964,10.0.0.1,5001,3,0.0-0.2,117600,4703976,2.409,0,80,0.000,0
20260119225944,10.0.0.2,43035,10.0.0.1,5001,2,1.2-1.4,2316720,92668336,0.099,0,1576,0.000,0
20260119225944,11.0.0.1,40964,10.0.0.1,5001,3,0.2-0.4,116130,4645176,2.432,0,79,0.000,0
20260119225944,10.0.0.2,43035,10.0.0.1,5001,2,1.4-1.6,2313780,92550737,0.102,0,1574,0.000,0
20260119225944,11.0.0.1,40964,10.0.0.1,5001,3,0.4-0.6,116130,4645176,2.425,0,79,0.000,0
20260119225945,10.0.0.2,43035,10.0.0.1,5001,2,1.6-1.8,2315250,92609536,0.102,70,1645,4.255,1
20260119225945,11.0.0.1,40964,10.0.0.1,5001,3,0.6-0.8,114660,4586377,2.425,0,78,0.000,0
20260119225945,10.0.0.2,43035,10.0.0.1,5001,2,1.8-2.0,2315250,92609536,0.102,124,1699,7.298,0
20260119225945,11.0.0.1,40964,10.0.0.1,5001,3,0.8-1.0,116130,4645176,2.431,0,79,0.000,0
20260119225945,10.0.0.2,43035,10.0.0.1,5001,2,2.0-2.2,2315250,92609536,0.108,123,1698,7.244,0
20260119225945,11.0.0.1,40964,10.0.0.1,5001,3,1.0-1.2,116130,4645176,2.425,0,79,0.000,0
20260119225945,10.0.0.2,43035,10.0.0.1,5001,2,2.2-2.4,2313780,92550737,0.101,124,1698,7.303,0
20260119225945,11.0.0.1,40964,10.0.0.1,5001,3,1.2-1.4,116130,4645176,2.432,0,79,0.000,0
20260119225945,10.0.0.2,43035,10.0.0.1,5001,2,2.4-2.6,2315250,92609536,0.103,124,1699,7.298,0
20260119225945,11.0.0.1,40964,10.0.0.1,5001,3,1.4-1.6,114660,4586377,2.431,0,78,0.000,0
20260119225946,10.0.0.2,43035,10.0.0.1,5001,2,2.6-2.8,2315250,92609536,0.094,123,1698,7.244,0
20260119225946,11.0.0.1,40964,10.0.0.1,5001,3,1.6-1.8,116130,4645176,2.425,0,79,0.000,0
20260119225946,10.0.0.2,43035,10.0.0.1,5001,2,2.8-3.0,2313780,92550737,0.107,124,1698,7.303,0
20260119225946,11.0.0.1,40964,10.0.0.1,5001,3,1.8-2.0,116130,4645176,2.436,0,79,0.000,0
20260119225946,10.0.0.2,43035,10.0.0.1,5001,2,3.0-3.2,2315250,92609536,0.101,124,1699,7.298,1
20260119225946,11.0.0.1,40964,10.0.0.1,5001,3,2.0-2.2,114660,4586377,2.432,0,78,0.000,0
20260119225946,10.0.0.2,43035,10.0.0.1,5001,2,3.2-3.4,2315250,92609536,0.105,123,1698,7.244,0
20260119225946,11.0.0.1,40964,10.0.0.1,5001,3,2.2-2.4,116130,4645176,2.425,0,79,0.000,0
20260119225946,10.0.0.2,43035,10.0.0.1,5001,2,3.4-3.6,2315250,92609536,0.109,124,1699,7.298,0
20260119225946,11.0.0.1,40964,10.0.0.1,5001,3,2.4-2.6,105840,4233578,2.821,8,80,10.000,0
20260119225947,10.0.0.2,43035,10.0.0.1,5001,2,3.6-3.8,2332890,93315133,0.118,185,1772,10.440,0
20260119225947,11.0.0.1,40964,10.0.0.1,5001,3,2.6-2.8,82320,3292783,0.278,1339,1395,95.986,0
20260119225947,10.0.0.2,43035,10.0.0.1,5001,2,3.8-4.0,2372580,94902725,0.104,168,1782,9.428,0
20260119225947,11.0.0.1,40964,10.0.0.1,5001,3,2.8-3.0,45570,1822790,0.388,1720,1751,98.230,0
20260119225947,10.0.0.2,43035,10.0.0.1,5001,2,4.0-4.2,2371110,94843925,0.118,171,1784,9.585,0
20260119225947,11.0.0.1,40964,10.0.0.1,5001,3,3.0-3.2,79380,3175184,0.098,1671,1725,96.870,0
20260119225947,10.0.0.2,43035,10.0.0.1,5001,2,4.2-4.4,2362290,94491127,0.114,176,1783,9.871,0
20260119225947,11.0.0.1,40964,10.0.0.1,5001,3,3.2-3.4,66150,2645986,0.092,1768,1813,97.518,0
20260119225947,10.0.0.2,43035,10.0.0.1,5001,2,4.4-4.6,2352000,94079529,0.112,184,1784,10.314,0
20260119225947,11.0.0.1,40964,10.0.0.1,5001,3,3.4-3.6,83790,3351583,0.083,1734,1791,96.817,0
20260119225948,10.0.0.2,43035,10.0.0.1,5001,2,4.6-4.8,2343180,93726731,0.099,188,1782,10.550,0
20260119225948,11.0.0.1,40964,10.0.0.1,5001,3,3.6-3.8,61740,2469587,0.092,1618,1660,97.470,0
20260119225948,10.0.0.2,43035,10.0.0.1,5001,2,4.8-5.0,2375520,95020324,0.099,168,1784,9.417,0
20260119225948,11.0.0.1,40964,10.0.0.1,5001,3,3.8-4.0,70560,2822385,0.103,1851,1899,97.472,0
20260119225948,10.0.0.2,43035,10.0.0.1,5001,2,5.0-5.2,2353470,94138329,0.097,182,1783,10.208,0
20260119225948,11.0.0.1,40964,10.0.0.1,5001,3,4.0-4.2,91140,3645581,0.083,1728,1790,96.536,0
20260119225948,10.0.0.2,43035,10.0.0.1,5001,2,5.2-5.4,2334360,93373933,0.098,195,1783,10.937,0
20260119225948,11.0.0.1,40964,10.0.0.1,5001,3,4.2-4.4,94080,3763181,0.150,1686,1750,96.343,0
20260119225948,10.0.0.2,43035,10.0.0.1,5001,2,5.4-5.6,2352000,94079529,0.095,184,1784,10.314,0
20260119225948,11.0.0.1,40964,10.0.0.1,5001,3,4.4-4.6,70560,2822385,0.100,1721,1769,97.287,0
20260119225949,10.0.0.2,43035,10.0.0.1,5001,2,5.6-5.8,2350530,94020729,0.094,184,1783,10.320,0
20260119225949,11.0.0.1,40964,10.0.0.1,5001,3,4.6-4.8,80850,3233983,0.086,1713,1768,96.889,0
20260119225949,10.0.0.2,43035,10.0.0.1,5001,2,5.8-6.0,2352000,94079529,0.101,184,1784,10.314,0
20260119225949,11.0.0.1,40964,10.0.0.1,5001,3,4.8-5.0,66150,2645986,0.115,1766,1811,97.515,0
20260119225949,10.0.0.2,43035,10.0.0.1,5001,2,6.0-6.2,2359350,94373528,0.100,177,1782,9.933,0
20260119225949,11.0.0.1,40964,10.0.0.1,5001,3,5.0-5.2,74970,2998785,0.168,1719,1770,97.119,0
20260119225949,10.0.0.2,43035,10.0.0.1,5001,2,6.2-6.4,2359350,94373528,0.100,179,1784,10.034,0
20260119225949,11.0.0.1,40964,10.0.0.1,5001,3,5.2-5.4,77910,3116384,0.105,1716,1769,97.004,0
20260119225949,10.0.0.2,43035,10.0.0.1,5001,2,6.4-6.6,2368170,94726326,0.110,172,1783,9.647,0
20260119225949,11.0.0.1,40964,10.0.0.1,5001,3,5.4-5.6,72030,2881185,0.098,1762,1811,97.294,0
20260119225950,10.0.0.2,43035,10.0.0.1,5001,2,6.6-6.8,2343180,93726731,0.105,191,1785,10.700,0
20260119225950,11.0.0.1,40964,10.0.0.1,5001,3,5.6-5.8,73500,2939985,0.092,1676,1726,97.103,0
20260119225950,10.0.0.2,43035,10.0.0.1,5001,2,6.8-7.0,2362290,94491127,0.100,175,1782,9.820,1
20260119225950,11.0.0.1,40964,10.0.0.1,5001,3,5.8-6.0,66150,2645986,0.092,1745,1790,97.486,0
20260119225950,10.0.0.2,43035,10.0.0.1,5001,2,7.0-7.2,2371110,94843925,0.103,170,1783,9.534,0
20260119225950,11.0.0.1,40964,10.0.0.1,5001,3,6.0-6.2,42630,1705191,0.093,1805,1834,98.419,0
20260119225950,10.0.0.2,43035,10.0.0.1,5001,2,7.2-7.4,2382870,95314323,0.097,162,1783,9.086,0
20260119225950,11.0.0.1,40964,10.0.0.1,5001,3,6.2-6.4,49980,1999190,0.106,1691,1725,98.029,0
20260119225950,10.0.0.2,43035,10.0.0.1,5001,2,7.4-7.6,2384340,95373123,0.096,161,1783,9.030,0
20260119225950,11.0.0.1,40964,10.0.0.1,5001,3,6.4-6.6,55860,2234388,0.083,1732,1770,97.853,0
20260119225951,10.0.0.2,43035,10.0.0.1,5001,2,7.6-7.8,2369640,94785126,0.103,172,1784,9.641,0
20260119225951,11.0.0.1,40964,10.0.0.1,5001,3,6.6-6.8,72030,2881185,0.107,1740,1789,97.261,0
20260119225951,10.0.0.2,43035,10.0.0.1,5001,2,7.8-8.0,2359350,94373528,0.114,178,1783,9.983,0
20260119225951,11.0.0.1,40964,10.0.0.1,5001,3,6.8-7.0,57330,2293188,0.090,1773,1812,97.848,0
20260119225951,10.0.0.2,43035,10.0.0.1,5001,2,8.0-8.2,2372580,94902725,0.093,170,1784,9.529,0
20260119225951,11.0.0.1,40964,10.0.0.1,5001,3,7.0-7.2,60270,2410787,0.099,1771,1812,97.737,0
20260119225951,10.0.0.2,43035,10.0.0.1,5001,2,8.2-8.4,2374050,94961525,0.103,168,1783,9.422,0
20260119225951,11.0.0.1,40964,10.0.0.1,5001,3,7.2-7.4,55860,2234388,0.083,1710,1748,97.826,0
20260119225951,10.0.0.2,43035,10.0.0.1,5001,2,8.4-8.6,2385810,95431922,0.102,161,1784,9.025,0
20260119225951,11.0.0.1,40964,10.0.0.1,5001,3,7.4-7.6,45570,1822790,0.110,1759,1790,98.268,0
20260119225952,10.0.0.2,43035,10.0.0.1,5001,2,8.6-8.8,2379930,95196724,0.097,164,1783,9.198,0
20260119225952,11.0.0.1,40964,10.0.0.1,5001,3,7.6-7.8,51450,2057989,0.101,1777,1812,98.068,0
20260119225952,10.0.0.2,43035,10.0.0.1,5001,2,8.8-9.0,2378460,95137924,0.094,164,1782,9.203,0
20260119225952,11.0.0.1,40964,10.0.0.1,5001,3,7.8-8.0,44100,1763991,0.105,1696,1726,98.262,0
20260119225952,10.0.0.2,43035,10.0.0.1,5001,2,9.0-9.2,2393160,95725921,0.107,156,1784,8.744,0
20260119225952,11.0.0.1,40964,10.0.0.1,5001,3,8.0-8.2,44100,1763991,0.131,1781,1811,98.343,0
20260119225952,10.0.0.2,43035,10.0.0.1,5001,2,9.2-9.4,2381400,95255523,0.103,163,1783,9.142,0
20260119225952,11.0.0.1,40964,10.0.0.1,5001,3,8.2-8.4,39690,1587592,0.121,1786,1813,98.511,0
20260119225952,10.0.0.2,43035,10.0.0.1,5001,2,9.4-9.6,2390220,95608321,0.100,158,1784,8.857,0
20260119225952,11.0.0.1,40964,10.0.0.1,5001,3,8.4-8.6,42630,1705191,0.116,1762,1791,98.381,0
20260119225953,10.0.0.2,43035,10.0.0.1,5001,2,9.6-9.8,2393160,95725921,0.104,155,1783,8.693,0
20260119225953,11.0.0.1,40964,10.0.0.1,5001,3,8.6-8.8,35280,1411192,0.080,1700,1724,98.608,0
20260119225953,10.0.0.2,43035,10.0.0.1,5001,2,9.8-10.0,2399040,95961120,0.106,152,1784,8.520,0
20260119225953,11.0.0.1,40964,10.0.0.1,5001,3,8.8-9.0,27930,1117194,0.085,1772,1791,98.939,0
20260119225953,10.0.0.2,43035,10.0.0.1,5001,2,10.0-10.2,2410800,96431517,0.101,142,1782,7.969,0
20260119225953,10.0.0.2,43035,10.0.0.1,5001,2,0.0-10.2,120976590,94497189,0.104,6871,89168,7.706,3
20260119225953,11.0.0.1,40964,10.0.0.1,5001,3,9.0-9.2,119070,4762776,0.555,2832,2913,97.219,0
20260119225953,11.0.0.1,40964,10.0.0.1,5001,3,9.2-9.4,120540,4821575,0.105,1686,1768,95.362,0
20260119225953,11.0.0.1,40964,10.0.0.1,5001,3,9.4-9.6,122010,4880375,0.138,1708,1791,95.366,0
20260119225954,11.0.0.1,40964,10.0.0.1,5001,3,9.6-9.8,122010,4880375,0.087,1707,1790,95.363,0
20260119225954,11.0.0.1,40964,10.0.0.1,5001,3,9.8-10.0,120540,4821575,0.085,1686,1768,95.362,0
20260119225954,11.0.0.1,40964,10.0.0.1,5001,3,10.0-10.2,122010,4880375,0.079,1708,1791,95.366,0
20260119225954,11.0.0.1,40964,10.0.0.1,5001,3,10.2-10.4,122010,4880375,0.086,1708,1791,95.366,0
20260119225954,11.0.0.1,40964,10.0.0.1,5001,3,10.4-10.6,120540,4821575,0.067,1687,1769,95.365,0
20260119225955,11.0.0.1,40964,10.0.0.1,5001,3,10.6-10.8,122010,4880375,0.096,1706,1789,95.361,0
20260119225955,11.0.0.1,40964,10.0.0.1,5001,3,10.8-11.0,122010,4880375,0.077,1708,1791,95.366,0
20260119225955,11.0.0.1,40964,10.0.0.1,5001,3,11.0-11.2,120540,4821575,0.074,1686,1768,95.362,0
20260119225955,11.0.0.1,40964,10.0.0.1,5001,3,11.2-11.4,122010,4880375,0.082,1709,1792,95.368,0
20260119225955,11.0.0.1,40964,10.0.0.1,5001,3,11.4-11.6,122010,4880375,0.079,1707,1790,95.363,0
20260119225956,11.0.0.1,40964,10.0.0.1,5001,3,11.6-11.8,120540,4821575,0.074,1687,1769,95.365,0
20260119225956,11.0.0.1,40964,10.0.0.1,5001,3,11.8-12.0,122010,4880375,0.068,1707,1790,95.363,0
20260119225956,11.0.0.1,40964,10.0.0.1,5001,3,12.0-12.2,122010,4880375,0.113,1707,1790,95.363,0
20260119225956,11.0.0.1,40964,10.0.0.1,5001,3,12.2-12.4,120540,4821575,0.078,1687,1769,95.365,0
20260119225956,11.0.0.1,40964,10.0.0.1,5001,3,0.0-12.4,5553660,3577332,0.770,85391,89169,95.763,0
20260119230001,10.0.0.2,42666,10.0.0.1,5001,4,0.0-0.2,2432850,97313513,0.101,0,1655,0.000,0
20260119230001,10.0.0.2,42666,10.0.0.1,5001,4,0.2-0.4,2429910,97195914,0.099,0,1653,0.000,0
20260119230001,10.0.0.2,42666,10.0.0.1,5001,4,0.4-0.6,2428440,97137114,0.126,0,1652,0.000,1
20260119230002,10.0.0.2,42666,10.0.0.1,5001,4,0.6-0.8,2426970,97078314,0.101,0,1651,0.000,0
20260119230002,10.0.0.2,42666,10.0.0.1,5001,4,0.8-1.0,2429910,97195914,0.100,0,1653,0.000,0
20260119230002,10.0.0.2,42666,10.0.0.1,5001,4,1.0-1.2,2381400,95255523,0.101,0,1620,0.000,0
20260119230002,11.0.0.1,47740,10.0.0.1,5001,5,0.0-0.2,117600,4703976,2.412,0,80,0.000,0
20260119230002,10.0.0.2,42666,10.0.0.1,5001,4,1.2-1.4,2315250,92609536,0.105,0,1575,0.000,0
20260119230002,11.0.0.1,47740,10.0.0.1,5001,5,0.2-0.4,116130,4645176,2.433,0,79,0.000,0
20260119230002,10.0.0.2,42666,10.0.0.1,5001,4,1.4-1.6,2313780,92550737,0.110,0,1574,0.000,0
20260119230002,11.0.0.1,47740,10.0.0.1,5001,5,0.4-0.6,116130,4645176,2.431,0,79,0.000,0
20260119230003,10.0.0.2,42666,10.0.0.1,5001,4,1.6-1.8,2313780,92550737,0.105,71,1645,4.316,0
20260119230003,11.0.0.1,47740,10.0.0.1,5001,5,0.6-0.8,114660,4586377,2.433,0,78,0.000,0
20260119230003,10.0.0.2,42666,10.0.0.1,5001,4,1.8-2.0,2313780,92550737,0.106,124,1698,7.303,0
20260119230003,11.0.0.1,47740,10.0.0.1,5001,5,0.8-1.0,116130,4645176,2.425,0,79,0.000,0
20260119230003,10.0.0.2,42666,10.0.0.1,5001,4,2.0-2.2,2313780,92550737,0.121,124,1698,7.303,0
20260119230003,11.0.0.1,47740,10.0.0.1,5001,5,1.0-1.2,116130,4645176,2.424,0,79,0.000,0
20260119230003,10.0.0.2,42666,10.0.0.1,5001,4,2.2-2.4,2313780,92550737,0.117,123,1697,7.248,0
20260119230003,11.0.0.1,47740,10.0.0.1,5001,5,1.2-1.4,114660,4586377,2.425,0,78,0.000,0
20260119230003,10.0.0.2,42666,10.0.0.1,5001,4,2.4-2.6,2315250,92609536,0.105,124,1699,7.298,0
20260119230003,11.0.0.1,47740,10.0.0.1,5001,5,1.4-1.6,116130,4645176,2.430,0,79,0.000,0
20260119230004,10.0.0.2,42666,10.0.0.1,5001,4,2.6-2.8,2313780,92550737,0.107,124,1698,7.303,0
20260119230004,11.0.0.1,47740,10.0.0.1,5001,5,1.6-1.8,116130,4645176,2.435,0,79,0.000,0
20260119230004,10.0.0.2,42666,10.0.0.1,5001,4,2.8-3.0,2313780,92550737,0.098,123,1697,7.248,0
20260119230004,11.0.0.1,47740,10.0.0.1,5001,5,1.8-2.0,114660,4586377,2.476,0,78,0.000,0
20260119230004,10.0.0.2,42666,10.0.0.1,5001,4,3.0-3.2,2257920,90316348,0.097,121,1657,7.302,0
20260119230004,192.168.1.1,54524,10.0.0.1,5001,6,0.0-0.2,122010,4880375,0.227,0,83,0.000,0
20260119230004,11.0.0.1,47740,10.0.0.1,5001,5,2.0-2.2,110250,4409977,2.559,0,75,0.000,0
20260119230004,10.0.0.2,42666,10.0.0.1,5001,4,3.2-3.4,2229990,89199154,0.104,123,1640,7.500,0
20260119230004,192.168.1.1,54524,10.0.0.1,5001,6,0.2-0.4,58800,2351988,0.127,44,84,52.381,0
20260119230004,11.0.0.1,47740,10.0.0.1,5001,5,2.2-2.4,35280,1411192,7.790,48,72,66.667,0
20260119230004,10.0.0.2,42666,10.0.0.1,5001,4,3.4-3.6,2388750,95549522,0.105,159,1784,8.913,0
20260119230004,192.168.1.1,54524,10.0.0.1,5001,6,0.4-0.6,29400,1175994,0.055,66,86,76.744,0
20260119230004,11.0.0.1,47740,10.0.0.1,5001,5,2.4-2.6,8820,352798,14.336,64,70,91.429,0
20260119230005,10.0.0.2,42666,10.0.0.1,5001,4,3.6-3.8,2397570,95902320,0.099,152,1783,8.525,0
20260119230005,192.168.1.1,54524,10.0.0.1,5001,6,0.6-0.8,24990,999595,0.042,74,91,81.319,0
20260119230005,11.0.0.1,47740,10.0.0.1,5001,5,2.6-2.8,7350,293998,15.001,1218,1223,99.591,0
